InterPro Description	InterPro ID	Number in RPS	Number in Secretome	Ratio	Clone ID of Secretome clones containing domain																																																																																																						
PTM GLA_blood	IPR002383	8	7	0.88	PB2018	PA2022	PA2029	PB2287	PA4522	PA4527	PB8801																																																																																																
PTM GLA_bone	IPR002384	4	4	1.00	PA3681	PB988	PB989	PB19348																																																																																																			
Family Kininogen	IPR002395	1	1	1.00	PA3203																																																																																																						
Family EP450I	IPR002401	26	18	0.69	PA1585	PA1587	PB1590	PA1593	PA1594	PA1596	PA1598	PA1600	PA1601	PA1602	PA1604	PA1605	PA1608	PA1609	PB1610	PB13081	PC31568	PC31681																																																																																					
Family EP450II	IPR002402	16	6	0.38	PA1614	PA1615	PA1617	PA1621	PB11468	PC40206																																																																																																	
Family EP450IV	IPR002403	19	9	0.47	PA1587	PA1598	PA1614	PA1615	PB1622	PA1625	PA4628	PB11468	PA1592																																																																																														
Family Inhibin_alpha	IPR002405	1	1	1.00	PA2998																																																																																																						
Family C_natriurtcpep	IPR002406	1	1	1.00	PA4008																																																																																																						
"Natriuretic peptide, atrial type"	IPR002407		1	 	B%SWISS-PROT:P05125																																																																																																						
Family Br__natriurtcpep	IPR002408	1	1	1.00	PA4007																																																																																																						
Family Pro_amnoPTase	IPR002410	10	3	0.30	PB1923	PB3669	PC15269																																																																																																				
Family FEL_allergen	IPR002412	2	2	1.00	PC445	PB7677																																																																																																					
Family Odorant_bndng	IPR002448	1	1	1.00	PA7046																																																																																																						
Family Retinol_bndng	IPR002449	1	1	1.00	PA4796																																																																																																						
Family VonEbner_gland	IPR002450	2	2	1.00	PA3281	PA3282																																																																																																					
Domain A_deamin	IPR002466	5	1	0.20	PB5583																																																																																																						
Family Palm_thioest	IPR002472	2	2	1.00	PA4482	PB7100																																																																																																					
Family Interleukin_8	IPR002473	4	3	0.75	PA2515	PA5030	PA5031																																																																																																				
Family Glyco_trans_8	IPR002495	3	1	0.33	PC15417																																																																																																						
Family Glyco_trans_11	IPR002516	1	1	1.00	PA2214																																																																																																						
Family GCV_T	IPR002536	2	1	0.50	PB4597																																																																																																						
Family Choline_kinase	IPR002573	2	1	0.50	PA1326																																																																																																						
Domain DUF25	IPR002579	2	1	0.50	PC16801																																																																																																						
Family Phosphodiest	IPR002591	5	2	0.40	PB4253	PC14508																																																																																																					
Family ATZ_TRZ	IPR002604	2	1	0.50	PA2328																																																																																																						
Family dNK	IPR002624	3	1	0.33	PB9116																																																																																																						
Family IPPT	IPR002627	1	1	1.00	PC8852																																																																																																						
Family BolA	IPR002634	2	1	0.50	PC18624																																																																																																						
Family QRPTase	IPR002638	1	1	1.00	PB9209																																																																																																						
Family Arylesterase	IPR002640	2	2	1.00	PA4428	PA4430																																																																																																					
Family Glyco_trans_31	IPR002659	10	9	0.90	PB773	PB6409	PB7062	PB13260	PB19196	PC19786	PC27986	PC71168	PC19738																																																																																														
Family DUF59	IPR002744	2	1	0.50	PB9923																																																																																																						
Domain TRAM	IPR002792	3	1	0.33	PB8856																																																																																																						
Family ThiJ	IPR002818	3	2	0.67	PB6665	PC37143																																																																																																					
Repeat GH_BNR	IPR002860	10	3	0.30	PB3522	PB4816	PA3910																																																																																																				
Domain Reeler	IPR002861	3	2	0.67	PB4816	PC40357																																																																																																					
Domain Pep_M12B_propep	IPR002870	27	6	0.22	PA6118	PB7821	PC10596	PC30996	PC32955	PC21666																																																																																																	
Family DUF28	IPR002876	1	1	1.00	PC50613																																																																																																						
Domain P_domain	IPR002884	4	3	0.75	PA4210	PA4211	PA4213																																																																																																				
Repeat PPR	IPR002885	3	1	0.33	PC15950																																																																																																						
Family A2M_N	IPR002890	5	5	1.00	PA433	PA2639	PA3802	PA3803	PC25247																																																																																																		
Domain Frataxin_like	IPR002908	1	1	1.00	PA2198																																																																																																						
Domain IPT_TIG	IPR002909	21	1	0.05	PB4611																																																																																																						
Domain TIL_Cysrich	IPR002919	4	2	0.50	PB4150	PC29181																																																																																																					
Family GCV_H	IPR002930	1	1	1.00	PB9819																																																																																																						
Family Peptidase_M20	IPR002933	4	1	0.25	PC22148																																																																																																						
Family Methyltransf_3	IPR002935	2	2	1.00	PA1442	PC70799																																																																																																					
Family Amino_oxidase	IPR002937	6	3	0.50	PA2134	PA4466	PC11169																																																																																																				
Domain DnaJ_C	IPR002939	8	1	0.13	PB19066																																																																																																						
Alpha-1-microglobulin	IPR002968	1	1	1.00	PA726																																																																																																						
Family ApolipopD	IPR002969	1	1	1.00	PA821																																																																																																						
Family Maj_urinary	IPR002971	5	4	0.80	PA3804	PC3806	PA3807	PA3808																																																																																																			
Family PstgldnD_synth	IPR002972	1	1	1.00	PA4586																																																																																																						
Domain Surf1	IPR002994	1	1	1.00	PA5436																																																																																																						
Domain CR1A	IPR002996	25	3	0.12	PB1488	PA2951	PB6773																																																																																																				
Domain Tudor	IPR002999	17	3	0.18	PA668	PA17567	PB19085																																																																																																				
Family SIR2	IPR003000	7	1	0.14	PB19157																																																																																																						
Domain Ig_MHC	IPR003006	295	60	0.20	PA643	PA699	PB938	PA943	PA956	PA1226	PA1407	PA1502	PA2603	PA2826	PC2938	PB3394	PB3419	PA3478	PB4181	PB4615	PA5054	PA5057	PC5543	PA5950	PB5951	PB5952	PB6303	PB6364	PB6365	PB6366	PB6987	PB7327	PB7597	PC9444	PC10359	PC11406	PB14669	PB15955	PC16827	PB18906	PB18934	PC20046	PC21005	PC21322	PC21998	PC22704	PC22727	PC22758	PC22838	PC23842	PC29153	PC29774	PC30887	PC30975	PC33407	PC34663	PC35723	PC60142	PC70026	PC22793	B%ENSEMBL:ENSMUSP00000005914	B%TREMBL:Q9D6A9	B%TREMBL:Q9D8L4	B%TREMBL:Q9DCD9																																											
Nitrilase/cyanide hydratase	IPR003010	5	2	0.40	PB6298	PA6383																																																																																																					
Domain PAN	IPR003014	5	5	1.00	PA2686	PA2687	PA3183	PA4392	PC13037																																																																																																		
Domain Lipoyl	IPR003016	5	2	0.40	PA6721	PB9819																																																																																																					
Domain SAP	IPR003034	15	1	0.07	PC8607																																																																																																						
Family Norrie_dis	IPR003064	1	1	1.00	PA3891																																																																																																						
Family N_gelatinase	IPR003087	1	1	1.00	PA3280																																																																																																						
Family AB_hydrolase	IPR003089	6	1	0.17	PB8117																																																																																																						
Family Hsp_DnaJ	IPR003095	4	1	0.25	PB19066																																																																																																						
Domain FAD_binding	IPR003097	5	1	0.20	PC18736																																																																																																						
Domain LON	IPR003111	4	1	0.25	PC14848																																																																																																						
Domain Olfac_like	IPR003112	9	5	0.56	PA3855	PC10173	PB19345	PC21293	PC38572																																																																																																		
Domain SapA	IPR003119	2	2	1.00	PA4542	B%SWISS-PROT:P50405																																																																																																					
Domain TSPN	IPR003129	15	15	1.00	PA1413	PA1414	PA1415	PB1418	PA1420	PB1421	PB1429	PA1436	PA5634	PA5635	PA5636	PB5637	PB6984	PA7013	PC19566																																																																																								
Domain PA	IPR003137	10	2	0.20	PC14121	PC21940																																																																																																					
Family PLP_Cesterase	IPR003140	3	1	0.33	PB4363																																																																																																						
Family Propep_M14	IPR003146	6	6	1.00	PA1458	PB7374	PC8130	PC12833	PC16972	PC15296																																																																																																	
Family E1_DerP2_DerF2	IPR003172	1	1	1.00	PA9691																																																																																																						
Family Chlgly_hydrolase	IPR003199	2	2	1.00	PA877	PC8972																																																																																																					
Family Me_prt_hydrlase	IPR003226	1	1	1.00	PA7903																																																																																																						
Domain Acyl_carrier	IPR003231	1	1	1.00	PC11639																																																																																																						
Family Mamm_mATPase8	IPR003238		1	 	B%SWISS-PROT:P03930																																																																																																						
Ribosomal protein L24	IPR003256	1	1	1.00	PC70721																																																																																																						
Domain Surfactant_B	IPR003258		1	 	B%SWISS-PROT:P50405																																																																																																						
Family InterleukinIL1RA	IPR003297	1	1	1.00	PA2970																																																																																																						
Domain WIF	IPR003306	2	1	0.50	PA6282																																																																																																						
Aggrecan proteoglycan core protein repeat	IPR003324	1	1	1.00	PA643																																																																																																						
Repeat tsp_3	IPR003367	5	5	1.00	PB1441	PA5634	PA5635	PA5636	PB5637																																																																																																		
Family Fringe	IPR003378	3	3	1.00	PB3296	PB3675	PB4831																																																																																																				
Family LACT	IPR003386	2	2	1.00	PA3278	PB19289																																																																																																					
Aminolevulinic acid synthase	IPR003408	2	1	0.50	PA678																																																																																																						
Domain Hyalin	IPR003410	3	3	1.00	PB6886	PB8026	PC10354																																																																																																				
Family GDNF_receptor	IPR003438	3	2	0.67	PA2359	PB2360																																																																																																					
Domain ABC_transportr	IPR003439	49	3	0.06	PB938	PB6987	PC16825																																																																																																				
Family GDNF_receptorA2	IPR003504	1	1	1.00	PA2359																																																																																																						
Family GDNF_receptorA3	IPR003505	1	1	1.00	PB2360																																																																																																						
Family Hemtopoptn_L_F3	IPR003530	5	2	0.40	PA2951	PB6773																																																																																																					
Family 8Ox_triPHTase	IPR003563	1	1	1.00	PA3784																																																																																																						
Family IL6_MGF_GCSF	IPR003573	2	2	1.00	PA1530	PA2982																																																																																																					
Family Interleukin_6	IPR003574	1	1	1.00	PA2982																																																																																																						
Ras small GTPase	IPR003575	131	3	0.02	PB7574	PB11159	PC24211																																																																																																				
Family GTPase_Ras	IPR003577	20	1	0.05	B%TREMBL:Q91Z34																																																																																																						
Family GTPase_Rho	IPR003578	21	1	0.05	B%TREMBL:Q91Z34																																																																																																						
Family GTPase_Rab	IPR003579	48	2	0.04	PC24211	B%TREMBL:Q91Z34																																																																																																					
Family Protachykinin	IPR003580	1	1	1.00	PA5469																																																																																																						
Domain TSPc	IPR003581	1	1	1.00	PC40270																																																																																																						
Domain Hedgehog_hintC	IPR003586	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Domain Hedgehog_hintN	IPR003587	3	3	1.00	PB1706	PA2940	PA5111																																																																																																				
Repeat LRR_typ	IPR003591	112	29	0.26	PB700	PB701	PA992	PB1316	PA1652	PB1782	PA2173	PA2903	PB3130	PA3372	PB4073	PC5206	PC5207	PC5208	PB6474	PB8598	PB8634	PC15153	PC15175	PB17134	PC18273	PB18906	PC22838	PC23706	PC31489	PC33407	PA4126	PB6461	PB7584																																																																										
"Leucine-rich repeat, outlier"	IPR003592	76	17	0.22	PB701	PA992	PB1316	PA1652	PA2173	PA2903	PA3372	PC5206	PC5207	PC5208	PB6474	PB8598	PC15153	PB17134	PC18273	PC22838	PA4126																																																																																						
Domain AAA_ATPase	IPR003593	95	4	0.04	PC9230	PC12804	PC14848	PB19316																																																																																																			
Domain ATPbind_ATPase	IPR003594	15	2	0.13	PA9727	PC30005																																																																																																					
Domain Ig_v	IPR003596	41	20	0.49	PA643	PA956	PA1502	PC2938	PB4615	PC5543	PA5950	PB5951	PB5952	PB7327	PC9444	PC11406	PB14669	PC20046	PC29774	PC60142	PC70026	B%ENSEMBL:ENSMUSP00000005914	B%TREMBL:Q9D6A9	B%TREMBL:Q9D8L4																																																																																			
Domain Ig_c1	IPR003597	37	7	0.19	PA943	PA2603	PC2938	PC11406	B%ENSEMBL:ENSMUSP00000005914	B%TREMBL:Q9D8L4	B%TREMBL:Q9DCD9																																																																																																
Domain Ig_c2	IPR003598	147	31	0.21	PB938	PA1407	PA2826	PA2951	PB3394	PB3419	PA3478	PB4181	PA5058	PB6303	PB6364	PB6365	PB6366	PB6987	PB7597	PC11406	PB15955	PB18906	PB18934	PC21005	PC21322	PC22727	PC22758	PC23842	PC29153	PC30975	PC33407	PC35723	PC70026	PB6461	PC22793																																																																								
Domain Ig	IPR003599	274	63	0.23	PB938	PA956	PA1226	PA1407	PA1502	PA1543	PA1544	PA2826	PC2938	PB3394	PB3419	PA3478	PB4181	PB4615	PA5054	PA5055	PA5056	PA5057	PA5058	PC5543	PA5950	PB5951	PB6303	PB6364	PB6365	PB6366	PB6677	PB6987	PB7327	PB7597	PC9444	PC10359	PC11406	PC14049	PB14669	PB15955	PB18906	PB18934	PC20046	PC21005	PC21322	PC21998	PC22727	PC22758	PC22838	PC23842	PC24133	PC29153	PC29774	PC30887	PC30975	PC33407	PC34663	PC34796	PC35723	PC60142	PC70026	PB7759	PC22793	B%ENSEMBL:ENSMUSP00000005914	B%TREMBL:Q9D6A9	B%TREMBL:Q9D8L4	B%TREMBL:Q9DCD9																																								
Domain Ig_like	IPR003600	30	9	0.30	PA1543	PA2826	PB3419	PA5056	PB7327	PC21322	PC22838	PC24133	PC30887																																																																																														
Domain LRRcap	IPR003603	5	1	0.20	PC18273																																																																																																						
Domain Znf_U1	IPR003604	17	1	0.06	PC28942																																																																																																						
Nuclear protein Zn2+-binding	IPR003606	4	1	0.25	PB19085																																																																																																						
Domain ME_Pplase_HDc	IPR003607	16	1	0.06	PA4235																																																																																																						
Domain MIR	IPR003608	6	1	0.17	PB5034																																																																																																						
Domain Pan_app	IPR003609	3	3	1.00	PA2686	PA2687	PA4392																																																																																																				
Family Urocortin_CRF	IPR003620	1	2	2.00	PB5853	B%ENSEMBL:ENSMUSP00000029133																																																																																																					
Family LIF	IPR003624	1	1	1.00	PA3314																																																																																																						
Family Pthyrhorm_sub	IPR003625	1	1	1.00	PB4636																																																																																																						
Family PTH_related	IPR003626	1	1	1.00	PB4638																																																																																																						
Family Uteroglbn_sub	IPR003628	1	1	1.00	PA5890																																																																																																						
Family GCSF_MGF	IPR003629	1	1	1.00	PA1530																																																																																																						
Family Interleukin_9	IPR003630	1	1	1.00	PA2987																																																																																																						
Cell-surface glycoprotein Ly-6/CD59	IPR003632	8	3	0.38	PA7639	PB8911	PC13327																																																																																																				
Family Interleukin_13	IPR003634	1	1	1.00	PA2954																																																																																																						
Family Neurokinin	IPR003635	1	1	1.00	PA5470																																																																																																						
Family Mov34_2	IPR003640	2	1	0.50	PC8120																																																																																																						
Family Endothelin	IPR003641	3	3	1.00	PA1825	PA1826	PA1827																																																																																																				
Domain FolN	IPR003645	5	5	1.00	PB1816	PA2207	PA2208	PA5293	PB19023																																																																																																		
Domain Bbox_C	IPR003649	8	2	0.25	PA5650	PA5651																																																																																																					
Family SUMO_protease	IPR003653	7	1	0.14	PC22013																																																																																																						
Plexin/semaphorin/integrin	IPR003659	29	5	0.17	PA5054	PA5055	PA5056	PA5057	PA5058																																																																																																		
Family Maf	IPR003697	1	1	1.00	PC10618																																																																																																						
Family UPF0061	IPR003846	1	1	1.00	PC12803																																																																																																						
Family Galactosyl_T_2	IPR003859	4	4	1.00	PA7350	PB7376	PB6941	PB7384																																																																																																			
Domain SPRY_receptor	IPR003877	39	1	0.03	PC9402																																																																																																						
PTM Ppantne_attach	IPR003880	15	1	0.07	PC11639																																																																																																						
Domain FacI_MAC	IPR003884	1	1	1.00	PA1309																																																																																																						
Domain Nidogen_ext	IPR003886	1	1	1.00	PA3952																																																																																																						
Family TGF_TGFb	IPR003911	3	3	1.00	PA5615	PA5618	PA5619																																																																																																				
Family TFIID_30kD	IPR003923	1	1	1.00	PB6262																																																																																																						
Family TGFb1	IPR003939	1	1	1.00	PA5615																																																																																																						
Family TGFb2	IPR003940	1	1	1.00	PA5618																																																																																																						
Family TGFb3	IPR003941	1	1	1.00	PA5619																																																																																																						
Family TGFb4	IPR003942	1	1	1.00	PA1809																																																																																																						
"Fumarate reductase/succinate dehydrogenase, FAD-binding site"	IPR003952	1	1	1.00	PC8835																																																																																																						
"Fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal"	IPR003953	1	1	1.00	PC8835																																																																																																						
Family AAA_ATPase_centr	IPR003959	37	1	0.03	PC14848																																																																																																						
Domain FN_III	IPR003961	122	19	0.16	PB938	PA1407	PA1415	PB1434	PB1488	PA2176	PB4181	PB4697	PB5686	PB5887	PB6773	PB6987	PC9847	PC11777	PB18983	PC22555	PC22932	PC38446	PC31061																																																																																				
Repeat FnIII_repeat	IPR003962	64	8	0.13	PB938	PA1407	PB1434	PA2176	PB4181	PB5887	PB6987	PC22932																																																																																															
Family Prothrombin	IPR003966	1	1	1.00	PA2022																																																																																																						
Family thrombopoeitin	IPR003978	1	1	1.00	PA5639																																																																																																						
Intercellular adhesion molecule/vascular cell adhesion molecule-1	IPR003987	7	1	0.14	PB16356																																																																																																						
Family Pancreatis_ac	IPR003990	6	6	1.00	PA4182	PB4809	PA4810	PA4811	PA4812	PC6711																																																																																																	
Family treacle	IPR003993	20	1	0.05	PC9120																																																																																																						
UbiE/COQ5 methyltransferase	IPR004033	2	1	0.50	PB9720																																																																																																						
Domain LCCL_dom	IPR004043	5	4	0.80	PA1410	PC14900	PC18794	PB19045																																																																																																			
Domain GST_Cterm	IPR004046	29	1	0.03	PB19280																																																																																																						
Family GonadoliberinI	IPR004079		1	 	B%SWISS-PROT:P13562																																																																																																						
Domain KH_dom	IPR004087	26	1	0.04	PA668																																																																																																						
Domain KH_type_1	IPR004088	21	1	0.05	PA668																																																																																																						
Family Chmtaxis_transd	IPR004089	1	1	1.00	PA3262																																																																																																						
"H+-transporting two-sector ATPase, alpha/beta subunit,N-terminal"	IPR004100	4	1	0.25	PA906																																																																																																						
Domain GFO_IDH_MocA_C	IPR004104	1	1	1.00	PC12801																																																																																																						
"Fumarate reductase/succinate dehydrogenase flavoprotein, C-terminal"	IPR004112	1	1	1.00	PC8835																																																																																																						
Family Amelogenin	IPR004116	1	1	1.00	PA731																																																																																																						
Family GDPD	IPR004129	7	1	0.14	PB7283																																																																																																						
Domain DAN_dom	IPR004133	4	4	1.00	PB1303	PA3877	PB6167	PB6168																																																																																																			
Family Glyco_trans_13	IPR004139	2	1	0.50	PA3677																																																																																																						
Family ABC1	IPR004147	4	1	0.25	PC13106																																																																																																						
Repeat CXCXC_repeat	IPR004153	3	1	0.33	PA5934																																																																																																						
Domain HGTP_anticodon	IPR004154	6	1	0.17	PB12021																																																																																																						
Domain EFTU_Cterm	IPR004160	8	1	0.13	PC19742																																																																																																						
Domain EFTU_D2	IPR004161	16	2	0.13	PC19742	PC37358																																																																																																					
Domain CoA_transf_1	IPR004163	2	2	1.00	PB7961	PB8914																																																																																																					
Domain CoA_transf_2	IPR004164	2	2	1.00	PB7961	PB8914																																																																																																					
Family CoA_trans	IPR004165	2	2	1.00	PB7961	PB8914																																																																																																					
Domain GRAM_dom	IPR004182	8	1	0.13	PA6921																																																																																																						
Family Somatostatin	IPR004250	2	2	1.00	PA1445	PA5228																																																																																																					
Family Exostosin	IPR004263	2	2	1.00	PA1982	PB7292																																																																																																					
Family Folate_rec	IPR004269	4	4	1.00	PA2183	PA2184	PB8035	PC26767																																																																																																			
Domain NIF	IPR004274	5	1	0.20	PC9034																																																																																																						
Family IL12	IPR004281	1	1	1.00	PA2950																																																																																																						
Family CutA1	IPR004323		1	 	B%TREMBL:Q9D1L4																																																																																																						
Family TB2_DP1_HVA22	IPR004345	5	1	0.20	PC40344																																																																																																						
Domain Gly_bleo_diox	IPR004360	5	1	0.20	PC14473																																																																																																						
"tRNA synthetase, class II (D, K and N)"	IPR004364	4	1	0.25	PC30004																																																																																																						
Domain tRNA_anti	IPR004365	7	1	0.14	PC30004																																																																																																						
Domain Cyclin	IPR004366	28	1	0.04	PB7529																																																																																																						
Family NadC	IPR004393	1	1	1.00	PB9209																																																																																																						
Family Iojap	IPR004394	1	1	1.00	PC40393																																																																																																						
Family Mito_nad_idh	IPR004434	3	1	0.33	PB3416																																																																																																						
Glutaredoxin-related protein	IPR004480	2	1	0.50	PC13875																																																																																																						
Family HisS	IPR004516	2	1	0.50	PB12021																																																																																																						
Family ThdF	IPR004520	1	1	1.00	PB11670																																																																																																						
Family AsnS	IPR004522	2	1	0.50	PC30004																																																																																																						
Translation elongation factor Tu	IPR004541	1	1	1.00	PC19742																																																																																																						
Family HemK	IPR004556	1	1	1.00	PC114																																																																																																						
Family Proto_IX_ox	IPR004572	1	1	1.00	PA4466																																																																																																						
Family CaCC_prot1	IPR004727	4	2	0.50	PB6141	PC39976																																																																																																					
Family Lon_fam	IPR004815	2	1	0.50	PC14848																																																																																																						
Domain Zn_MTpeptdse	IPR006025	83	26	0.31	PA1005	PA3703	PA3704	PA3705	PA3706	PA3710	PA3712	PA3713	PA3714	PA3715	PA4541	PB5671	PA6118	PB6268	PA6721	PA6723	PA7779	PB7821	PB18937	PB19073	PC30996	PC39023	PC71095	PA3267	PB15380	PC19732																																																																													
